===== AR (diffusion mu=on) STARTED Mon Jul 27 11:34:54 CEST 2026 =====
objective=diffusion mu=on params=2.209M steps=50000 diff_steps=3 norm=std
step   6800 | loss 0.2091 | aux 0.2059 | lr 1.93e-04 | 0.4 it/s
step   6900 | loss 0.1927 | aux 0.1897 | lr 1.93e-04 | 0.4 it/s
step   7000 | loss 0.1808 | aux 0.1778 | lr 1.93e-04 | 0.4 it/s
step   7100 | loss 0.1764 | aux 0.1735 | lr 1.93e-04 | 0.4 it/s
step   7200 | loss 0.1735 | aux 0.1706 | lr 1.92e-04 | 0.4 it/s
step   7300 | loss 0.1978 | aux 0.1947 | lr 1.92e-04 | 0.4 it/s
step   7400 | loss 0.1891 | aux 0.1861 | lr 1.92e-04 | 0.4 it/s
step   7500 | loss 0.1729 | aux 0.1700 | lr 1.92e-04 | 0.4 it/s
step   7600 | loss 0.1721 | aux 0.1692 | lr 1.91e-04 | 0.4 it/s
step   7700 | loss 0.1829 | aux 0.1799 | lr 1.91e-04 | 0.4 it/s
step   7800 | loss 0.1933 | aux 0.1903 | lr 1.91e-04 | 0.4 it/s
step   7900 | loss 0.1832 | aux 0.1803 | lr 1.90e-04 | 0.4 it/s
step   8000 | loss 0.1752 | aux 0.1723 | lr 1.90e-04 | 0.4 it/s
  [eval] step 8000 | EMA avg NMSE -7.59 dB (step1 -18.00, step10 -4.21)
step   8100 | loss 0.1991 | aux 0.1961 | lr 1.90e-04 | 0.4 it/s
step   8200 | loss 0.1759 | aux 0.1730 | lr 1.90e-04 | 0.4 it/s
step   8300 | loss 0.1626 | aux 0.1598 | lr 1.89e-04 | 0.4 it/s
step   8400 | loss 0.1781 | aux 0.1752 | lr 1.89e-04 | 0.4 it/s
step   8500 | loss 0.1619 | aux 0.1591 | lr 1.89e-04 | 0.4 it/s
step   8600 | loss 0.1856 | aux 0.1827 | lr 1.88e-04 | 0.4 it/s
step   8700 | loss 0.1794 | aux 0.1765 | lr 1.88e-04 | 0.4 it/s
step   8800 | loss 0.1686 | aux 0.1658 | lr 1.88e-04 | 0.4 it/s
step   8900 | loss 0.1838 | aux 0.1808 | lr 1.88e-04 | 0.4 it/s
step   9000 | loss 0.1774 | aux 0.1745 | lr 1.87e-04 | 0.4 it/s
step   9100 | loss 0.1732 | aux 0.1703 | lr 1.87e-04 | 0.4 it/s
step   9200 | loss 0.1633 | aux 0.1605 | lr 1.87e-04 | 0.4 it/s
step   9300 | loss 0.1554 | aux 0.1527 | lr 1.86e-04 | 0.4 it/s
step   9400 | loss 0.1730 | aux 0.1702 | lr 1.86e-04 | 0.4 it/s
step   9500 | loss 0.1543 | aux 0.1516 | lr 1.86e-04 | 0.4 it/s
step   9600 | loss 0.1731 | aux 0.1702 | lr 1.85e-04 | 0.4 it/s
step   9700 | loss 0.1706 | aux 0.1678 | lr 1.85e-04 | 0.4 it/s
step   9800 | loss 0.1858 | aux 0.1829 | lr 1.85e-04 | 0.4 it/s
step   9900 | loss 0.1678 | aux 0.1650 | lr 1.84e-04 | 0.4 it/s
step  10000 | loss 0.1775 | aux 0.1746 | lr 1.84e-04 | 0.4 it/s
  [eval] step 10000 | EMA avg NMSE -8.06 dB (step1 -18.47, step10 -4.73)
step  10100 | loss 0.1760 | aux 0.1731 | lr 1.84e-04 | 0.4 it/s
step  10200 | loss 0.1796 | aux 0.1767 | lr 1.83e-04 | 0.4 it/s
step  10300 | loss 0.1575 | aux 0.1547 | lr 1.83e-04 | 0.4 it/s
step  10400 | loss 0.1773 | aux 0.1743 | lr 1.83e-04 | 0.4 it/s
step  10500 | loss 0.1868 | aux 0.1838 | lr 1.82e-04 | 0.4 it/s
step  10600 | loss 0.1715 | aux 0.1686 | lr 1.82e-04 | 0.4 it/s
step  10700 | loss 0.1598 | aux 0.1571 | lr 1.81e-04 | 0.4 it/s
step  10800 | loss 0.1874 | aux 0.1845 | lr 1.81e-04 | 0.4 it/s
step  10900 | loss 0.1744 | aux 0.1716 | lr 1.81e-04 | 0.4 it/s
step  11000 | loss 0.1666 | aux 0.1638 | lr 1.80e-04 | 0.4 it/s
step  11100 | loss 0.1564 | aux 0.1537 | lr 1.80e-04 | 0.4 it/s
step  11200 | loss 0.1718 | aux 0.1690 | lr 1.80e-04 | 0.4 it/s
step  11300 | loss 0.1889 | aux 0.1860 | lr 1.79e-04 | 0.4 it/s
step  11400 | loss 0.1550 | aux 0.1523 | lr 1.79e-04 | 0.4 it/s
step  11500 | loss 0.1718 | aux 0.1690 | lr 1.78e-04 | 0.4 it/s
step  11600 | loss 0.1777 | aux 0.1748 | lr 1.78e-04 | 0.4 it/s
step  11700 | loss 0.1686 | aux 0.1659 | lr 1.78e-04 | 0.4 it/s
step  11800 | loss 0.1592 | aux 0.1565 | lr 1.77e-04 | 0.4 it/s
step  11900 | loss 0.1666 | aux 0.1639 | lr 1.77e-04 | 0.4 it/s
step  12000 | loss 0.1742 | aux 0.1714 | lr 1.76e-04 | 0.4 it/s
  [eval] step 12000 | EMA avg NMSE -8.29 dB (step1 -18.96, step10 -4.91)
step  12100 | loss 0.1884 | aux 0.1854 | lr 1.76e-04 | 0.4 it/s
step  12200 | loss 0.1627 | aux 0.1599 | lr 1.76e-04 | 0.4 it/s
step  12300 | loss 0.1667 | aux 0.1639 | lr 1.75e-04 | 0.4 it/s
step  12400 | loss 0.1864 | aux 0.1835 | lr 1.75e-04 | 0.4 it/s
step  12500 | loss 0.1538 | aux 0.1511 | lr 1.74e-04 | 0.4 it/s
step  12600 | loss 0.1684 | aux 0.1656 | lr 1.74e-04 | 0.4 it/s
