===== TRAIN STARTED AT Fri Jul  3 14:14:52 CEST 2026 =====
device=cuda out_dir=runs/mf_6795000 steps=80000 batch=512 lr=0.001
building fixed validation set ...
step      0 | mse 1.1877 | lr 1.00e-06 | 0.4 it/s
step   8300 | mse 0.2566 | lr 9.79e-04 | 0.6 it/s
step   8400 | mse 0.2044 | lr 9.79e-04 | 0.6 it/s
step   8500 | mse 0.2353 | lr 9.78e-04 | 0.6 it/s
step   8600 | mse 0.2140 | lr 9.78e-04 | 0.6 it/s
step   8700 | mse 0.2182 | lr 9.77e-04 | 0.6 it/s
step   8800 | mse 0.2458 | lr 9.76e-04 | 0.6 it/s
step   8900 | mse 0.2688 | lr 9.76e-04 | 0.6 it/s
step   9000 | mse 0.2485 | lr 9.75e-04 | 0.6 it/s
step   9100 | mse 0.2303 | lr 9.75e-04 | 0.6 it/s
step   9200 | mse 0.2157 | lr 9.74e-04 | 0.6 it/s
step   9300 | mse 0.2491 | lr 9.73e-04 | 0.6 it/s
step   9400 | mse 0.2142 | lr 9.73e-04 | 0.6 it/s
