===== TRAIN STARTED AT Wed Jul  1 22:06:59 CEST 2026 =====
device=cuda out_dir=runs/mf_6790763 steps=50000 batch=128 lr=0.0002
building fixed validation set ...
step      0 | mse 1.2867 | lr 2.00e-07 | 0.4 it/s
step    100 | mse 1.2412 | lr 2.02e-05 | 1.8 it/s
step    200 | mse 1.1418 | lr 4.02e-05 | 1.9 it/s
step    300 | mse 1.5258 | lr 6.02e-05 | 1.9 it/s
step    400 | mse 2.1924 | lr 8.02e-05 | 1.9 it/s
step    500 | mse 2.9316 | lr 1.00e-04 | 1.9 it/s
step    600 | mse 3.4912 | lr 1.20e-04 | 1.9 it/s
step    700 | mse 3.5986 | lr 1.40e-04 | 1.9 it/s
step    800 | mse 3.9136 | lr 1.60e-04 | 1.9 it/s
step    900 | mse 3.4904 | lr 1.80e-04 | 1.9 it/s
step   1000 | mse 2.9129 | lr 2.00e-04 | 1.9 it/s
step   1100 | mse 2.1944 | lr 2.00e-04 | 1.9 it/s
step   1200 | mse 1.7288 | lr 2.00e-04 | 1.9 it/s
step   1300 | mse 1.3921 | lr 2.00e-04 | 1.9 it/s
step   1400 | mse 1.1485 | lr 2.00e-04 | 1.9 it/s
step   1500 | mse 1.0247 | lr 2.00e-04 | 1.9 it/s
step   1600 | mse 0.9271 | lr 2.00e-04 | 1.9 it/s
step   1700 | mse 0.8187 | lr 2.00e-04 | 1.9 it/s
step   1800 | mse 0.7149 | lr 2.00e-04 | 1.9 it/s
step   1900 | mse 0.6347 | lr 2.00e-04 | 1.9 it/s
step   2000 | mse 0.5952 | lr 2.00e-04 | 1.9 it/s
  [eval] step 2000 | EMA avg NMSE -5.57 dB (step1 -9.81, step10 -4.38) | raw -4.88 dB
step   2100 | mse 0.4939 | lr 2.00e-04 | 1.9 it/s
step   2200 | mse 0.4724 | lr 2.00e-04 | 1.9 it/s
step   2300 | mse 0.4473 | lr 2.00e-04 | 1.9 it/s
step   2400 | mse 0.4332 | lr 2.00e-04 | 1.9 it/s
step   2500 | mse 0.4071 | lr 2.00e-04 | 1.9 it/s
step   2600 | mse 0.4134 | lr 2.00e-04 | 1.9 it/s
step   2700 | mse 0.3888 | lr 2.00e-04 | 1.9 it/s
step   2800 | mse 0.3663 | lr 2.00e-04 | 1.9 it/s
step   2900 | mse 0.3285 | lr 2.00e-04 | 1.9 it/s
step   3000 | mse 0.3269 | lr 2.00e-04 | 1.9 it/s
step   3100 | mse 0.3097 | lr 2.00e-04 | 1.9 it/s
step   3200 | mse 0.3230 | lr 2.00e-04 | 1.9 it/s
