===== TRAIN STARTED AT Wed Jul  1 16:44:21 CEST 2026 =====
device=cuda out_dir=runs/mf_6790263 steps=50000 batch=128 lr=0.0002
building fixed validation set ...
step      0 | mse 1.2617 | lr 2.00e-07 | 0.4 it/s
step   8400 | mse 0.2357 | lr 2.00e-04 | 1.9 it/s
step   8500 | mse 0.2439 | lr 2.00e-04 | 1.9 it/s
step   8600 | mse 0.2183 | lr 2.00e-04 | 1.9 it/s
step   8700 | mse 0.2381 | lr 2.00e-04 | 1.9 it/s
step   8800 | mse 0.2096 | lr 2.00e-04 | 1.9 it/s
step   8900 | mse 0.2207 | lr 2.00e-04 | 1.9 it/s
step   9000 | mse 0.2188 | lr 2.00e-04 | 1.9 it/s
step   9100 | mse 0.2092 | lr 2.00e-04 | 1.9 it/s
step   9200 | mse 0.2140 | lr 2.00e-04 | 1.9 it/s
step   9300 | mse 0.2166 | lr 2.00e-04 | 1.9 it/s
step   9400 | mse 0.2319 | lr 2.00e-04 | 1.9 it/s
step   9500 | mse 0.2265 | lr 2.00e-04 | 1.9 it/s
step   9600 | mse 0.2134 | lr 2.00e-04 | 1.9 it/s
step   9700 | mse 0.2123 | lr 2.00e-04 | 1.9 it/s
step   9800 | mse 0.2316 | lr 2.00e-04 | 1.9 it/s
step   9900 | mse 0.2249 | lr 2.00e-04 | 1.9 it/s
step  10000 | mse 0.1979 | lr 2.00e-04 | 1.9 it/s
  [eval] step 10000 | avg NMSE -0.22 dB (step1 -1.08, step10 0.26)
step  10100 | mse 0.2054 | lr 2.00e-04 | 1.9 it/s
step  10200 | mse 0.2346 | lr 2.00e-04 | 1.9 it/s
step  10300 | mse 0.2091 | lr 2.00e-04 | 1.9 it/s
step  10400 | mse 0.2217 | lr 2.00e-04 | 1.9 it/s
step  10500 | mse 0.2097 | lr 2.00e-04 | 1.9 it/s
step  10600 | mse 0.2290 | lr 2.00e-04 | 1.9 it/s
step  10700 | mse 0.2010 | lr 2.00e-04 | 1.9 it/s
