===== SEQ2SEQ (diffusion/small) STARTED Sun Jul 26 13:50:08 CEST 2026 =====
objective=diffusion size=small params=0.698M steps=50000 batch=256 lr=0.0002 norm=global_std
global-std (mu, sd) = (0.0335, 0.7063)
step      0 | loss 0.0140 | lr 2.00e-07 | 0.5 it/s
step   8300 | loss 0.0033 | lr 1.89e-04 | 2.2 it/s
step   8400 | loss 0.0035 | lr 1.89e-04 | 2.2 it/s
step   8500 | loss 0.0033 | lr 1.89e-04 | 2.2 it/s
step   8600 | loss 0.0036 | lr 1.88e-04 | 2.2 it/s
step   8700 | loss 0.0035 | lr 1.88e-04 | 2.2 it/s
step   8800 | loss 0.0034 | lr 1.88e-04 | 2.2 it/s
step   8900 | loss 0.0036 | lr 1.88e-04 | 2.2 it/s
step   9000 | loss 0.0035 | lr 1.87e-04 | 2.2 it/s
step   9100 | loss 0.0035 | lr 1.87e-04 | 2.2 it/s
step   9200 | loss 0.0033 | lr 1.87e-04 | 2.2 it/s
step   9300 | loss 0.0033 | lr 1.86e-04 | 2.2 it/s
step   9400 | loss 0.0035 | lr 1.86e-04 | 2.2 it/s
step   9500 | loss 0.0033 | lr 1.86e-04 | 2.2 it/s
step   9600 | loss 0.0035 | lr 1.85e-04 | 2.2 it/s
step   9700 | loss 0.0034 | lr 1.85e-04 | 2.2 it/s
step   9800 | loss 0.0035 | lr 1.85e-04 | 2.2 it/s
step   9900 | loss 0.0034 | lr 1.84e-04 | 2.2 it/s
step  10000 | loss 0.0035 | lr 1.84e-04 | 2.2 it/s
  [eval] step 10000 | EMA avg NMSE -3.56 dB (step1 -5.27, step10 -2.72)
step  10100 | loss 0.0034 | lr 1.84e-04 | 2.2 it/s
step  10200 | loss 0.0035 | lr 1.83e-04 | 2.2 it/s
step  10300 | loss 0.0033 | lr 1.83e-04 | 2.2 it/s
step  10400 | loss 0.0035 | lr 1.83e-04 | 2.2 it/s
step  10500 | loss 0.0037 | lr 1.82e-04 | 2.2 it/s
step  10600 | loss 0.0034 | lr 1.82e-04 | 2.2 it/s
step  10700 | loss 0.0033 | lr 1.81e-04 | 2.2 it/s
step  10800 | loss 0.0036 | lr 1.81e-04 | 2.2 it/s
step  10900 | loss 0.0034 | lr 1.81e-04 | 2.2 it/s
step  11000 | loss 0.0034 | lr 1.80e-04 | 2.2 it/s
step  11100 | loss 0.0033 | lr 1.80e-04 | 2.2 it/s
step  11200 | loss 0.0034 | lr 1.80e-04 | 2.2 it/s
step  11300 | loss 0.0036 | lr 1.79e-04 | 2.2 it/s
step  11400 | loss 0.0032 | lr 1.79e-04 | 2.2 it/s
step  11500 | loss 0.0034 | lr 1.78e-04 | 2.2 it/s
step  11600 | loss 0.0035 | lr 1.78e-04 | 2.2 it/s
step  11700 | loss 0.0034 | lr 1.78e-04 | 2.2 it/s
step  11800 | loss 0.0033 | lr 1.77e-04 | 2.2 it/s
step  11900 | loss 0.0034 | lr 1.77e-04 | 2.2 it/s
step  12000 | loss 0.0034 | lr 1.76e-04 | 2.2 it/s
  [eval] step 12000 | EMA avg NMSE -3.66 dB (step1 -5.35, step10 -2.79)
step  12100 | loss 0.0036 | lr 1.76e-04 | 2.2 it/s
step  12200 | loss 0.0033 | lr 1.76e-04 | 2.2 it/s
step  12300 | loss 0.0034 | lr 1.75e-04 | 2.2 it/s
step  12400 | loss 0.0036 | lr 1.75e-04 | 2.2 it/s
step  12500 | loss 0.0032 | lr 1.74e-04 | 2.2 it/s
step  12600 | loss 0.0034 | lr 1.74e-04 | 2.2 it/s
step  12700 | loss 0.0034 | lr 1.73e-04 | 2.2 it/s
step  12800 | loss 0.0034 | lr 1.73e-04 | 2.2 it/s
step  12900 | loss 0.0034 | lr 1.73e-04 | 2.2 it/s
step  13000 | loss 0.0035 | lr 1.72e-04 | 2.2 it/s
step  13100 | loss 0.0033 | lr 1.72e-04 | 2.2 it/s
step  13200 | loss 0.0033 | lr 1.71e-04 | 2.2 it/s
step  13300 | loss 0.0033 | lr 1.71e-04 | 2.2 it/s
step  13400 | loss 0.0034 | lr 1.70e-04 | 2.2 it/s
step  13500 | loss 0.0033 | lr 1.70e-04 | 2.2 it/s
step  13600 | loss 0.0032 | lr 1.69e-04 | 2.2 it/s
step  13700 | loss 0.0033 | lr 1.69e-04 | 2.2 it/s
step  13800 | loss 0.0033 | lr 1.68e-04 | 2.2 it/s
step  13900 | loss 0.0032 | lr 1.68e-04 | 2.2 it/s
step  14000 | loss 0.0033 | lr 1.68e-04 | 2.2 it/s
  [eval] step 14000 | EMA avg NMSE -3.74 dB (step1 -5.45, step10 -2.83)
step  14100 | loss 0.0033 | lr 1.67e-04 | 2.2 it/s
step  14200 | loss 0.0033 | lr 1.67e-04 | 2.2 it/s
step  14300 | loss 0.0034 | lr 1.66e-04 | 2.2 it/s
step  14400 | loss 0.0033 | lr 1.66e-04 | 2.2 it/s
step  14500 | loss 0.0034 | lr 1.65e-04 | 2.2 it/s
step  14600 | loss 0.0034 | lr 1.65e-04 | 2.2 it/s
step  14700 | loss 0.0032 | lr 1.64e-04 | 2.2 it/s
step  14800 | loss 0.0033 | lr 1.64e-04 | 2.2 it/s
step  14900 | loss 0.0034 | lr 1.63e-04 | 2.2 it/s
step  15000 | loss 0.0034 | lr 1.63e-04 | 2.2 it/s
step  15100 | loss 0.0034 | lr 1.62e-04 | 2.2 it/s
step  15200 | loss 0.0033 | lr 1.62e-04 | 2.2 it/s
step  15300 | loss 0.0032 | lr 1.61e-04 | 2.2 it/s
step  15400 | loss 0.0033 | lr 1.61e-04 | 2.2 it/s
step  15500 | loss 0.0032 | lr 1.60e-04 | 2.2 it/s
step  15600 | loss 0.0034 | lr 1.60e-04 | 2.2 it/s
step  15700 | loss 0.0033 | lr 1.59e-04 | 2.2 it/s
step  15800 | loss 0.0032 | lr 1.59e-04 | 2.2 it/s
step  15900 | loss 0.0033 | lr 1.58e-04 | 2.2 it/s
step  16000 | loss 0.0031 | lr 1.58e-04 | 2.2 it/s
  [eval] step 16000 | EMA avg NMSE -3.79 dB (step1 -5.53, step10 -2.85)
step  16100 | loss 0.0033 | lr 1.57e-04 | 2.2 it/s
step  16200 | loss 0.0034 | lr 1.57e-04 | 2.2 it/s
step  16300 | loss 0.0033 | lr 1.56e-04 | 2.2 it/s
step  16400 | loss 0.0033 | lr 1.56e-04 | 2.2 it/s
step  16500 | loss 0.0034 | lr 1.55e-04 | 2.2 it/s
step  16600 | loss 0.0033 | lr 1.54e-04 | 2.2 it/s
step  16700 | loss 0.0033 | lr 1.54e-04 | 2.2 it/s
step  16800 | loss 0.0033 | lr 1.53e-04 | 2.2 it/s
step  16900 | loss 0.0032 | lr 1.53e-04 | 2.2 it/s
step  17000 | loss 0.0032 | lr 1.52e-04 | 2.2 it/s
step  17100 | loss 0.0030 | lr 1.52e-04 | 2.2 it/s
step  17200 | loss 0.0033 | lr 1.51e-04 | 2.2 it/s
step  17300 | loss 0.0032 | lr 1.51e-04 | 2.2 it/s
step  17400 | loss 0.0032 | lr 1.50e-04 | 2.2 it/s
step  17500 | loss 0.0034 | lr 1.50e-04 | 2.2 it/s
step  17600 | loss 0.0032 | lr 1.49e-04 | 2.2 it/s
step  17700 | loss 0.0032 | lr 1.48e-04 | 2.2 it/s
step  17800 | loss 0.0033 | lr 1.48e-04 | 2.2 it/s
step  17900 | loss 0.0032 | lr 1.47e-04 | 2.2 it/s
step  18000 | loss 0.0032 | lr 1.47e-04 | 2.2 it/s
  [eval] step 18000 | EMA avg NMSE -3.85 dB (step1 -5.66, step10 -2.86)
step  18100 | loss 0.0032 | lr 1.46e-04 | 2.2 it/s
step  18200 | loss 0.0033 | lr 1.46e-04 | 2.2 it/s
step  18300 | loss 0.0033 | lr 1.45e-04 | 2.2 it/s
step  18400 | loss 0.0032 | lr 1.45e-04 | 2.2 it/s
step  18500 | loss 0.0030 | lr 1.44e-04 | 2.2 it/s
