===== REGRESSION TRAIN STARTED AT Sat Jul 25 20:46:05 CEST 2026 =====
device=cuda out_dir=runs/reg_6915230 steps=50000 batch=256 lr=0.0002 (JointRegressor, joint 10-frame)
building fixed validation set ...
step      0 | mse 1.1911 | lr 2.00e-07 | 0.4 it/s
step  34900 | mse 0.2123 | lr 4.49e-05 | 1.2 it/s
step  35000 | mse 0.2183 | lr 4.44e-05 | 1.2 it/s
step  35100 | mse 0.2053 | lr 4.38e-05 | 1.2 it/s
step  35200 | mse 0.1973 | lr 4.33e-05 | 1.2 it/s
step  35300 | mse 0.2050 | lr 4.28e-05 | 1.2 it/s
step  35400 | mse 0.2193 | lr 4.23e-05 | 1.2 it/s
step  35500 | mse 0.2043 | lr 4.18e-05 | 1.2 it/s
step  35600 | mse 0.2024 | lr 4.13e-05 | 1.2 it/s
step  35700 | mse 0.2077 | lr 4.08e-05 | 1.2 it/s
step  35800 | mse 0.2131 | lr 4.03e-05 | 1.2 it/s
step  35900 | mse 0.2100 | lr 3.98e-05 | 1.2 it/s
step  36000 | mse 0.2113 | lr 3.93e-05 | 1.2 it/s
  [eval] step 36000 | EMA avg NMSE -12.15 dB (step1 -17.77, step10 -9.12) | raw -12.15 dB
step  36100 | mse 0.2146 | lr 3.88e-05 | 1.2 it/s
step  36200 | mse 0.2183 | lr 3.83e-05 | 1.2 it/s
step  36300 | mse 0.2078 | lr 3.78e-05 | 1.2 it/s
step  36400 | mse 0.2014 | lr 3.73e-05 | 1.2 it/s
step  36500 | mse 0.2040 | lr 3.68e-05 | 1.2 it/s
step  36600 | mse 0.2062 | lr 3.63e-05 | 1.2 it/s
step  36700 | mse 0.1913 | lr 3.59e-05 | 1.2 it/s
step  36800 | mse 0.2368 | lr 3.54e-05 | 1.2 it/s
step  36900 | mse 0.2229 | lr 3.49e-05 | 1.2 it/s
step  37000 | mse 0.2118 | lr 3.44e-05 | 1.2 it/s
step  37100 | mse 0.2023 | lr 3.40e-05 | 1.2 it/s
step  37200 | mse 0.2032 | lr 3.35e-05 | 1.2 it/s
step  37300 | mse 0.2203 | lr 3.30e-05 | 1.2 it/s
step  37400 | mse 0.2143 | lr 3.26e-05 | 1.2 it/s
step  37500 | mse 0.2200 | lr 3.21e-05 | 1.2 it/s
step  37600 | mse 0.2195 | lr 3.17e-05 | 1.2 it/s
step  37700 | mse 0.1948 | lr 3.12e-05 | 1.2 it/s
step  37800 | mse 0.1925 | lr 3.08e-05 | 1.2 it/s
step  37900 | mse 0.2102 | lr 3.03e-05 | 1.2 it/s
step  38000 | mse 0.2214 | lr 2.99e-05 | 1.2 it/s
  [eval] step 38000 | EMA avg NMSE -12.22 dB (step1 -17.83, step10 -9.17) | raw -12.24 dB
step  38100 | mse 0.1940 | lr 2.94e-05 | 1.2 it/s
step  38200 | mse 0.2198 | lr 2.90e-05 | 1.2 it/s
step  38300 | mse 0.2112 | lr 2.86e-05 | 1.2 it/s
step  38400 | mse 0.2088 | lr 2.81e-05 | 1.2 it/s
step  38500 | mse 0.2000 | lr 2.77e-05 | 1.2 it/s
step  38600 | mse 0.2085 | lr 2.73e-05 | 1.2 it/s
step  38700 | mse 0.2041 | lr 2.69e-05 | 1.2 it/s
step  38800 | mse 0.1970 | lr 2.64e-05 | 1.2 it/s
step  38900 | mse 0.1946 | lr 2.60e-05 | 1.2 it/s
step  39000 | mse 0.2170 | lr 2.56e-05 | 1.2 it/s
step  39100 | mse 0.2105 | lr 2.52e-05 | 1.2 it/s
step  39200 | mse 0.2231 | lr 2.48e-05 | 1.2 it/s
step  39300 | mse 0.2173 | lr 2.44e-05 | 1.2 it/s
step  39400 | mse 0.2100 | lr 2.40e-05 | 1.2 it/s
step  39500 | mse 0.2325 | lr 2.36e-05 | 1.2 it/s
step  39600 | mse 0.1913 | lr 2.32e-05 | 1.2 it/s
step  39700 | mse 0.2245 | lr 2.28e-05 | 1.2 it/s
step  39800 | mse 0.1981 | lr 2.24e-05 | 1.2 it/s
step  39900 | mse 0.2236 | lr 2.20e-05 | 1.2 it/s
step  40000 | mse 0.2289 | lr 2.17e-05 | 1.2 it/s
  [eval] step 40000 | EMA avg NMSE -12.25 dB (step1 -17.87, step10 -9.20) | raw -12.27 dB
step  40100 | mse 0.1952 | lr 2.13e-05 | 1.2 it/s
step  40200 | mse 0.2153 | lr 2.09e-05 | 1.2 it/s
step  40300 | mse 0.1983 | lr 2.05e-05 | 1.2 it/s
step  40400 | mse 0.1943 | lr 2.02e-05 | 1.2 it/s
step  40500 | mse 0.2041 | lr 1.98e-05 | 1.2 it/s
step  40600 | mse 0.2054 | lr 1.94e-05 | 1.2 it/s
step  40700 | mse 0.2085 | lr 1.91e-05 | 1.2 it/s
step  40800 | mse 0.2070 | lr 1.87e-05 | 1.2 it/s
step  40900 | mse 0.2019 | lr 1.84e-05 | 1.2 it/s
step  41000 | mse 0.2187 | lr 1.80e-05 | 1.2 it/s
step  41100 | mse 0.1994 | lr 1.77e-05 | 1.2 it/s
step  41200 | mse 0.1914 | lr 1.73e-05 | 1.2 it/s
step  41300 | mse 0.2091 | lr 1.70e-05 | 1.2 it/s
step  41400 | mse 0.2081 | lr 1.67e-05 | 1.2 it/s
step  41500 | mse 0.2324 | lr 1.63e-05 | 1.2 it/s
step  41600 | mse 0.2131 | lr 1.60e-05 | 1.2 it/s
step  41700 | mse 0.1984 | lr 1.57e-05 | 1.2 it/s
step  41800 | mse 0.1846 | lr 1.54e-05 | 1.2 it/s
step  41900 | mse 0.2170 | lr 1.51e-05 | 1.2 it/s
step  42000 | mse 0.1974 | lr 1.47e-05 | 1.2 it/s
  [eval] step 42000 | EMA avg NMSE -12.29 dB (step1 -17.92, step10 -9.23) | raw -12.32 dB
step  42100 | mse 0.1941 | lr 1.44e-05 | 1.2 it/s
step  42200 | mse 0.1929 | lr 1.41e-05 | 1.2 it/s
step  42300 | mse 0.2078 | lr 1.38e-05 | 1.2 it/s
step  42400 | mse 0.2116 | lr 1.35e-05 | 1.2 it/s
step  42500 | mse 0.2275 | lr 1.32e-05 | 1.2 it/s
step  42600 | mse 0.2114 | lr 1.29e-05 | 1.2 it/s
step  42700 | mse 0.2055 | lr 1.26e-05 | 1.2 it/s
step  42800 | mse 0.2160 | lr 1.24e-05 | 1.2 it/s
step  42900 | mse 0.2271 | lr 1.21e-05 | 1.2 it/s
step  43000 | mse 0.2122 | lr 1.18e-05 | 1.2 it/s
step  43100 | mse 0.2267 | lr 1.15e-05 | 1.2 it/s
step  43200 | mse 0.2021 | lr 1.13e-05 | 1.2 it/s
step  43300 | mse 0.2050 | lr 1.10e-05 | 1.2 it/s
step  43400 | mse 0.1911 | lr 1.07e-05 | 1.2 it/s
step  43500 | mse 0.2030 | lr 1.05e-05 | 1.2 it/s
step  43600 | mse 0.2183 | lr 1.02e-05 | 1.2 it/s
step  43700 | mse 0.2030 | lr 9.97e-06 | 1.2 it/s
step  43800 | mse 0.1990 | lr 9.72e-06 | 1.2 it/s
step  43900 | mse 0.2013 | lr 9.48e-06 | 1.2 it/s
step  44000 | mse 0.2220 | lr 9.24e-06 | 1.2 it/s
  [eval] step 44000 | EMA avg NMSE -12.32 dB (step1 -17.90, step10 -9.27) | raw -12.31 dB
step  44100 | mse 0.2015 | lr 9.00e-06 | 1.2 it/s
step  44200 | mse 0.1829 | lr 8.77e-06 | 1.2 it/s
step  44300 | mse 0.1920 | lr 8.54e-06 | 1.2 it/s
step  44400 | mse 0.2036 | lr 8.31e-06 | 1.2 it/s
step  44500 | mse 0.2009 | lr 8.09e-06 | 1.2 it/s
step  44600 | mse 0.2075 | lr 7.87e-06 | 1.2 it/s
step  44700 | mse 0.1733 | lr 7.66e-06 | 1.2 it/s
step  44800 | mse 0.2088 | lr 7.45e-06 | 1.2 it/s
step  44900 | mse 0.2098 | lr 7.25e-06 | 1.2 it/s
step  45000 | mse 0.2169 | lr 7.04e-06 | 1.2 it/s
step  45100 | mse 0.2327 | lr 6.85e-06 | 1.2 it/s
step  45200 | mse 0.2126 | lr 6.65e-06 | 1.2 it/s
step  45300 | mse 0.2056 | lr 6.46e-06 | 1.2 it/s
step  45400 | mse 0.2154 | lr 6.27e-06 | 1.2 it/s
step  45500 | mse 0.1982 | lr 6.09e-06 | 1.2 it/s
step  45600 | mse 0.1926 | lr 5.91e-06 | 1.2 it/s
step  45700 | mse 0.2123 | lr 5.74e-06 | 1.2 it/s
step  45800 | mse 0.1989 | lr 5.57e-06 | 1.2 it/s
step  45900 | mse 0.1989 | lr 5.40e-06 | 1.2 it/s
step  46000 | mse 0.2280 | lr 5.24e-06 | 1.2 it/s
  [eval] step 46000 | EMA avg NMSE -12.35 dB (step1 -17.95, step10 -9.29) | raw -12.33 dB
step  46100 | mse 0.2161 | lr 5.08e-06 | 1.2 it/s
step  46200 | mse 0.1701 | lr 4.92e-06 | 1.2 it/s
step  46300 | mse 0.2153 | lr 4.77e-06 | 1.2 it/s
step  46400 | mse 0.2027 | lr 4.63e-06 | 1.2 it/s
step  46500 | mse 0.1946 | lr 4.48e-06 | 1.2 it/s
step  46600 | mse 0.2378 | lr 4.34e-06 | 1.2 it/s
step  46700 | mse 0.2019 | lr 4.21e-06 | 1.2 it/s
step  46800 | mse 0.1927 | lr 4.08e-06 | 1.2 it/s
step  46900 | mse 0.2058 | lr 3.95e-06 | 1.2 it/s
step  47000 | mse 0.1887 | lr 3.83e-06 | 1.2 it/s
step  47100 | mse 0.1996 | lr 3.71e-06 | 1.2 it/s
step  47200 | mse 0.1919 | lr 3.59e-06 | 1.2 it/s
step  47300 | mse 0.2090 | lr 3.48e-06 | 1.2 it/s
step  47400 | mse 0.2035 | lr 3.37e-06 | 1.2 it/s
step  47500 | mse 0.1975 | lr 3.27e-06 | 1.2 it/s
step  47600 | mse 0.2036 | lr 3.17e-06 | 1.2 it/s
step  47700 | mse 0.2027 | lr 3.07e-06 | 1.2 it/s
step  47800 | mse 0.2038 | lr 2.98e-06 | 1.2 it/s
step  47900 | mse 0.2205 | lr 2.90e-06 | 1.2 it/s
step  48000 | mse 0.1984 | lr 2.81e-06 | 1.2 it/s
  [eval] step 48000 | EMA avg NMSE -12.35 dB (step1 -17.95, step10 -9.29) | raw -12.35 dB
step  48100 | mse 0.2170 | lr 2.73e-06 | 1.2 it/s
step  48200 | mse 0.2007 | lr 2.66e-06 | 1.2 it/s
step  48300 | mse 0.1723 | lr 2.59e-06 | 1.2 it/s
step  48400 | mse 0.2123 | lr 2.52e-06 | 1.2 it/s
step  48500 | mse 0.2092 | lr 2.46e-06 | 1.2 it/s
step  48600 | mse 0.2023 | lr 2.40e-06 | 1.2 it/s
step  48700 | mse 0.1844 | lr 2.34e-06 | 1.2 it/s
step  48800 | mse 0.2072 | lr 2.29e-06 | 1.2 it/s
step  48900 | mse 0.1944 | lr 2.25e-06 | 1.2 it/s
step  49000 | mse 0.2241 | lr 2.20e-06 | 1.2 it/s
step  49100 | mse 0.1859 | lr 2.16e-06 | 1.2 it/s
step  49200 | mse 0.2129 | lr 2.13e-06 | 1.2 it/s
step  49300 | mse 0.1917 | lr 2.10e-06 | 1.2 it/s
step  49400 | mse 0.2020 | lr 2.07e-06 | 1.2 it/s
step  49500 | mse 0.2148 | lr 2.05e-06 | 1.2 it/s
step  49600 | mse 0.1933 | lr 2.03e-06 | 1.2 it/s
step  49700 | mse 0.1791 | lr 2.02e-06 | 1.2 it/s
step  49800 | mse 0.2149 | lr 2.01e-06 | 1.2 it/s
step  49900 | mse 0.1994 | lr 2.00e-06 | 1.2 it/s
done. best avg NMSE -12.35 dB. checkpoints in runs/reg_6915230
===== REGRESSION TRAIN FINISHED AT Sun Jul 26 08:16:21 CEST 2026 =====
