===== TRAIN STARTED AT Fri Jul 24 17:02:34 CEST 2026 =====
device=cuda out_dir=runs/mf_6913678 steps=50000 batch=256 lr=0.0002 source_std=1.0 mean_samples=1
building fixed validation set ...
step      0 | mse 1.9944 | mu_mse 0.9727 | lr 2.00e-07 | 0.3 it/s
step   6200 | mse 1.1247 | mu_mse 0.2022 | lr 1.95e-04 | 1.1 it/s
step   6300 | mse 1.0730 | mu_mse 0.1903 | lr 1.94e-04 | 1.1 it/s
step   6400 | mse 1.1135 | mu_mse 0.2022 | lr 1.94e-04 | 1.1 it/s
step   6500 | mse 1.0209 | mu_mse 0.1953 | lr 1.94e-04 | 1.1 it/s
step   6600 | mse 1.0513 | mu_mse 0.1931 | lr 1.94e-04 | 1.1 it/s
step   6700 | mse 0.9858 | mu_mse 0.1815 | lr 1.93e-04 | 1.1 it/s
step   6800 | mse 1.1304 | mu_mse 0.2184 | lr 1.93e-04 | 1.1 it/s
step   6900 | mse 1.0365 | mu_mse 0.2032 | lr 1.93e-04 | 1.1 it/s
step   7000 | mse 1.0239 | mu_mse 0.1876 | lr 1.93e-04 | 1.1 it/s
step   7100 | mse 1.0261 | mu_mse 0.1841 | lr 1.93e-04 | 1.1 it/s
step   7200 | mse 0.9864 | mu_mse 0.1822 | lr 1.92e-04 | 1.1 it/s
step   7300 | mse 1.0322 | mu_mse 0.2072 | lr 1.92e-04 | 1.1 it/s
step   7400 | mse 1.0074 | mu_mse 0.1996 | lr 1.92e-04 | 1.1 it/s
step   7500 | mse 1.0288 | mu_mse 0.1808 | lr 1.92e-04 | 1.1 it/s
step   7600 | mse 0.9868 | mu_mse 0.1822 | lr 1.91e-04 | 1.1 it/s
step   7700 | mse 1.0042 | mu_mse 0.1932 | lr 1.91e-04 | 1.1 it/s
step   7800 | mse 1.0370 | mu_mse 0.1984 | lr 1.91e-04 | 1.1 it/s
step   7900 | mse 1.0260 | mu_mse 0.1925 | lr 1.90e-04 | 1.1 it/s
step   8000 | mse 1.0084 | mu_mse 0.1833 | lr 1.90e-04 | 1.1 it/s
  [eval] step 8000 | EMA avg NMSE -5.72 dB (step1 -15.33, step10 -1.84) | raw -4.27 dB
step   8100 | mse 1.0310 | mu_mse 0.2131 | lr 1.90e-04 | 1.1 it/s
step   8200 | mse 1.0412 | mu_mse 0.1899 | lr 1.90e-04 | 1.1 it/s
step   8300 | mse 0.8683 | mu_mse 0.1723 | lr 1.89e-04 | 1.1 it/s
step   8400 | mse 0.9032 | mu_mse 0.1911 | lr 1.89e-04 | 1.1 it/s
step   8500 | mse 0.7672 | mu_mse 0.1713 | lr 1.89e-04 | 1.1 it/s
step   8600 | mse 0.8747 | mu_mse 0.1970 | lr 1.88e-04 | 1.1 it/s
step   8700 | mse 1.0135 | mu_mse 0.1857 | lr 1.88e-04 | 1.1 it/s
step   8800 | mse 0.8939 | mu_mse 0.1785 | lr 1.88e-04 | 1.1 it/s
step   8900 | mse 0.9503 | mu_mse 0.1965 | lr 1.88e-04 | 1.1 it/s
step   9000 | mse 0.9095 | mu_mse 0.1886 | lr 1.87e-04 | 1.1 it/s
step   9100 | mse 0.8730 | mu_mse 0.1799 | lr 1.87e-04 | 1.1 it/s
step   9200 | mse 0.9419 | mu_mse 0.1785 | lr 1.87e-04 | 1.1 it/s
step   9300 | mse 0.8764 | mu_mse 0.1672 | lr 1.86e-04 | 1.1 it/s
step   9400 | mse 0.8983 | mu_mse 0.1824 | lr 1.86e-04 | 1.1 it/s
step   9500 | mse 0.9409 | mu_mse 0.1670 | lr 1.86e-04 | 1.1 it/s
step   9600 | mse 0.8674 | mu_mse 0.1839 | lr 1.85e-04 | 1.1 it/s
step   9700 | mse 0.8861 | mu_mse 0.1836 | lr 1.85e-04 | 1.1 it/s
step   9800 | mse 0.8829 | mu_mse 0.1986 | lr 1.85e-04 | 1.1 it/s
step   9900 | mse 0.8466 | mu_mse 0.1815 | lr 1.84e-04 | 1.1 it/s
step  10000 | mse 0.8583 | mu_mse 0.1916 | lr 1.84e-04 | 1.1 it/s
  [eval] step 10000 | EMA avg NMSE -5.91 dB (step1 -15.52, step10 -2.01) | raw -4.89 dB
step  10100 | mse 0.9210 | mu_mse 0.1863 | lr 1.84e-04 | 1.1 it/s
step  10200 | mse 0.8889 | mu_mse 0.1903 | lr 1.83e-04 | 1.1 it/s
step  10300 | mse 0.8069 | mu_mse 0.1676 | lr 1.83e-04 | 1.1 it/s
step  10400 | mse 0.9475 | mu_mse 0.1900 | lr 1.83e-04 | 1.1 it/s
step  10500 | mse 0.9194 | mu_mse 0.2025 | lr 1.82e-04 | 1.1 it/s
step  10600 | mse 0.7781 | mu_mse 0.1835 | lr 1.82e-04 | 1.1 it/s
step  10700 | mse 0.7633 | mu_mse 0.1682 | lr 1.81e-04 | 1.1 it/s
step  10800 | mse 0.8746 | mu_mse 0.1986 | lr 1.81e-04 | 1.1 it/s
step  10900 | mse 0.8729 | mu_mse 0.1872 | lr 1.81e-04 | 1.1 it/s
step  11000 | mse 0.8606 | mu_mse 0.1788 | lr 1.80e-04 | 1.1 it/s
step  11100 | mse 0.7443 | mu_mse 0.1693 | lr 1.80e-04 | 1.1 it/s
step  11200 | mse 0.8573 | mu_mse 0.1826 | lr 1.80e-04 | 1.1 it/s
step  11300 | mse 0.9139 | mu_mse 0.2016 | lr 1.79e-04 | 1.1 it/s
step  11400 | mse 0.7690 | mu_mse 0.1655 | lr 1.79e-04 | 1.1 it/s
step  11500 | mse 0.8211 | mu_mse 0.1808 | lr 1.78e-04 | 1.1 it/s
step  11600 | mse 0.7830 | mu_mse 0.1940 | lr 1.78e-04 | 1.1 it/s
step  11700 | mse 0.7569 | mu_mse 0.1833 | lr 1.78e-04 | 1.1 it/s
step  11800 | mse 0.7040 | mu_mse 0.1713 | lr 1.77e-04 | 1.1 it/s
step  11900 | mse 0.7910 | mu_mse 0.1870 | lr 1.77e-04 | 1.1 it/s
step  12000 | mse 0.6965 | mu_mse 0.1851 | lr 1.76e-04 | 1.1 it/s
  [eval] step 12000 | EMA avg NMSE -6.36 dB (step1 -16.36, step10 -2.33) | raw -4.55 dB
step  12100 | mse 0.8332 | mu_mse 0.2011 | lr 1.76e-04 | 1.1 it/s
step  12200 | mse 0.7482 | mu_mse 0.1755 | lr 1.76e-04 | 1.1 it/s
step  12300 | mse 0.7723 | mu_mse 0.1805 | lr 1.75e-04 | 1.1 it/s
step  12400 | mse 0.7908 | mu_mse 0.2016 | lr 1.75e-04 | 1.1 it/s
step  12500 | mse 0.7185 | mu_mse 0.1679 | lr 1.74e-04 | 1.1 it/s
step  12600 | mse 0.7424 | mu_mse 0.1808 | lr 1.74e-04 | 1.1 it/s
step  12700 | mse 0.7830 | mu_mse 0.1804 | lr 1.73e-04 | 1.1 it/s
step  12800 | mse 0.7631 | mu_mse 0.1870 | lr 1.73e-04 | 1.1 it/s
step  12900 | mse 0.7454 | mu_mse 0.1857 | lr 1.73e-04 | 1.1 it/s
step  13000 | mse 0.7996 | mu_mse 0.1925 | lr 1.72e-04 | 1.1 it/s
step  13100 | mse 0.7917 | mu_mse 0.1773 | lr 1.72e-04 | 1.1 it/s
step  13200 | mse 0.7135 | mu_mse 0.1720 | lr 1.71e-04 | 1.1 it/s
step  13300 | mse 0.7738 | mu_mse 0.1809 | lr 1.71e-04 | 1.1 it/s
step  13400 | mse 0.7260 | mu_mse 0.1848 | lr 1.70e-04 | 1.1 it/s
step  13500 | mse 0.7567 | mu_mse 0.1737 | lr 1.70e-04 | 1.1 it/s
step  13600 | mse 0.7063 | mu_mse 0.1687 | lr 1.69e-04 | 1.1 it/s
step  13700 | mse 0.7001 | mu_mse 0.1727 | lr 1.69e-04 | 1.1 it/s
step  13800 | mse 0.7321 | mu_mse 0.1726 | lr 1.68e-04 | 1.1 it/s
step  13900 | mse 0.6561 | mu_mse 0.1694 | lr 1.68e-04 | 1.1 it/s
step  14000 | mse 0.7691 | mu_mse 0.1716 | lr 1.68e-04 | 1.1 it/s
  [eval] step 14000 | EMA avg NMSE -6.59 dB (step1 -16.64, step10 -2.53) | raw -4.17 dB
step  14100 | mse 0.7980 | mu_mse 0.1800 | lr 1.67e-04 | 1.1 it/s
step  14200 | mse 0.7826 | mu_mse 0.1772 | lr 1.67e-04 | 1.1 it/s
step  14300 | mse 0.6980 | mu_mse 0.1867 | lr 1.66e-04 | 1.1 it/s
step  14400 | mse 0.7017 | mu_mse 0.1760 | lr 1.66e-04 | 1.1 it/s
step  14500 | mse 0.7793 | mu_mse 0.1830 | lr 1.65e-04 | 1.1 it/s
step  14600 | mse 0.7195 | mu_mse 0.1908 | lr 1.65e-04 | 1.1 it/s
step  14700 | mse 0.7371 | mu_mse 0.1716 | lr 1.64e-04 | 1.1 it/s
step  14800 | mse 0.6333 | mu_mse 0.1736 | lr 1.64e-04 | 1.1 it/s
step  14900 | mse 0.7016 | mu_mse 0.1793 | lr 1.63e-04 | 1.1 it/s
step  15000 | mse 0.7097 | mu_mse 0.1845 | lr 1.63e-04 | 1.1 it/s
step  15100 | mse 0.8240 | mu_mse 0.1914 | lr 1.62e-04 | 1.1 it/s
step  15200 | mse 0.7174 | mu_mse 0.1806 | lr 1.62e-04 | 1.1 it/s
step  15300 | mse 0.7175 | mu_mse 0.1708 | lr 1.61e-04 | 1.1 it/s
step  15400 | mse 0.7181 | mu_mse 0.1876 | lr 1.61e-04 | 1.1 it/s
step  15500 | mse 0.6524 | mu_mse 0.1735 | lr 1.60e-04 | 1.1 it/s
step  15600 | mse 0.6692 | mu_mse 0.1932 | lr 1.60e-04 | 1.1 it/s
step  15700 | mse 0.7832 | mu_mse 0.1841 | lr 1.59e-04 | 1.1 it/s
step  15800 | mse 0.7099 | mu_mse 0.1668 | lr 1.59e-04 | 1.1 it/s
step  15900 | mse 0.7663 | mu_mse 0.1786 | lr 1.58e-04 | 1.1 it/s
step  16000 | mse 0.6388 | mu_mse 0.1606 | lr 1.58e-04 | 1.1 it/s
  [eval] step 16000 | EMA avg NMSE -6.93 dB (step1 -16.31, step10 -2.92) | raw -4.05 dB
step  16100 | mse 0.7940 | mu_mse 0.1804 | lr 1.57e-04 | 1.1 it/s
step  16200 | mse 0.7145 | mu_mse 0.1819 | lr 1.57e-04 | 1.1 it/s
step  16300 | mse 0.7287 | mu_mse 0.1719 | lr 1.56e-04 | 1.1 it/s
step  16400 | mse 0.7674 | mu_mse 0.1809 | lr 1.56e-04 | 1.1 it/s
step  16500 | mse 0.7757 | mu_mse 0.1826 | lr 1.55e-04 | 1.1 it/s
step  16600 | mse 0.7330 | mu_mse 0.1714 | lr 1.54e-04 | 1.1 it/s
step  16700 | mse 0.7098 | mu_mse 0.1851 | lr 1.54e-04 | 1.1 it/s
step  16800 | mse 0.6457 | mu_mse 0.1763 | lr 1.53e-04 | 1.1 it/s
step  16900 | mse 0.6756 | mu_mse 0.1735 | lr 1.53e-04 | 1.1 it/s
step  17000 | mse 0.7612 | mu_mse 0.1681 | lr 1.52e-04 | 1.1 it/s
step  17100 | mse 0.6488 | mu_mse 0.1507 | lr 1.52e-04 | 1.1 it/s
step  17200 | mse 0.7713 | mu_mse 0.1864 | lr 1.51e-04 | 1.1 it/s
step  17300 | mse 0.7988 | mu_mse 0.1693 | lr 1.51e-04 | 1.1 it/s
step  17400 | mse 0.6584 | mu_mse 0.1744 | lr 1.50e-04 | 1.1 it/s
step  17500 | mse 0.7024 | mu_mse 0.1811 | lr 1.50e-04 | 1.1 it/s
step  17600 | mse 0.6991 | mu_mse 0.1666 | lr 1.49e-04 | 1.1 it/s
step  17700 | mse 0.5875 | mu_mse 0.1661 | lr 1.48e-04 | 1.1 it/s
step  17800 | mse 0.7014 | mu_mse 0.1800 | lr 1.48e-04 | 1.1 it/s
step  17900 | mse 0.6771 | mu_mse 0.1687 | lr 1.47e-04 | 1.1 it/s
step  18000 | mse 0.7104 | mu_mse 0.1685 | lr 1.47e-04 | 1.1 it/s
  [eval] step 18000 | EMA avg NMSE -7.26 dB (step1 -16.46, step10 -3.26) | raw -6.39 dB
step  18100 | mse 0.6804 | mu_mse 0.1698 | lr 1.46e-04 | 1.1 it/s
step  18200 | mse 0.7032 | mu_mse 0.1793 | lr 1.46e-04 | 1.1 it/s
step  18300 | mse 0.6376 | mu_mse 0.1781 | lr 1.45e-04 | 1.1 it/s
step  18400 | mse 0.5959 | mu_mse 0.1726 | lr 1.45e-04 | 1.1 it/s
step  18500 | mse 0.6122 | mu_mse 0.1565 | lr 1.44e-04 | 1.1 it/s
step  18600 | mse 0.5991 | mu_mse 0.1707 | lr 1.43e-04 | 1.1 it/s
step  18700 | mse 0.6120 | mu_mse 0.1705 | lr 1.43e-04 | 1.1 it/s
step  18800 | mse 0.6352 | mu_mse 0.1714 | lr 1.42e-04 | 1.1 it/s
step  18900 | mse 0.6775 | mu_mse 0.1902 | lr 1.42e-04 | 1.1 it/s
step  19000 | mse 0.7253 | mu_mse 0.1942 | lr 1.41e-04 | 1.1 it/s
step  19100 | mse 0.7662 | mu_mse 0.1754 | lr 1.40e-04 | 1.1 it/s
step  19200 | mse 0.6536 | mu_mse 0.1581 | lr 1.40e-04 | 1.1 it/s
step  19300 | mse 0.6293 | mu_mse 0.1709 | lr 1.39e-04 | 1.1 it/s
step  19400 | mse 0.6122 | mu_mse 0.1665 | lr 1.39e-04 | 1.1 it/s
step  19500 | mse 0.6210 | mu_mse 0.1758 | lr 1.38e-04 | 1.1 it/s
step  19600 | mse 0.7061 | mu_mse 0.1807 | lr 1.38e-04 | 1.1 it/s
step  19700 | mse 0.6114 | mu_mse 0.1647 | lr 1.37e-04 | 1.1 it/s
step  19800 | mse 0.5871 | mu_mse 0.1787 | lr 1.36e-04 | 1.1 it/s
step  19900 | mse 0.5994 | mu_mse 0.1673 | lr 1.36e-04 | 1.1 it/s
step  20000 | mse 0.6779 | mu_mse 0.1807 | lr 1.35e-04 | 1.1 it/s
  [eval] step 20000 | EMA avg NMSE -7.43 dB (step1 -16.52, step10 -3.47) | raw -4.95 dB
step  20100 | mse 0.6331 | mu_mse 0.1652 | lr 1.35e-04 | 1.1 it/s
step  20200 | mse 0.6038 | mu_mse 0.1684 | lr 1.34e-04 | 1.1 it/s
step  20300 | mse 0.6652 | mu_mse 0.1816 | lr 1.33e-04 | 1.1 it/s
step  20400 | mse 0.5592 | mu_mse 0.1632 | lr 1.33e-04 | 1.1 it/s
step  20500 | mse 0.5772 | mu_mse 0.1673 | lr 1.32e-04 | 1.1 it/s
step  20600 | mse 0.7040 | mu_mse 0.1767 | lr 1.32e-04 | 1.1 it/s
step  20700 | mse 0.6337 | mu_mse 0.1756 | lr 1.31e-04 | 1.1 it/s
step  20800 | mse 0.6060 | mu_mse 0.1581 | lr 1.30e-04 | 1.1 it/s
step  20900 | mse 0.6171 | mu_mse 0.1758 | lr 1.30e-04 | 1.1 it/s
step  21000 | mse 0.6007 | mu_mse 0.1691 | lr 1.29e-04 | 1.1 it/s
step  21100 | mse 0.6446 | mu_mse 0.1792 | lr 1.29e-04 | 1.1 it/s
step  21200 | mse 0.6258 | mu_mse 0.1828 | lr 1.28e-04 | 1.1 it/s
step  21300 | mse 0.5772 | mu_mse 0.1909 | lr 1.27e-04 | 1.1 it/s
step  21400 | mse 0.5858 | mu_mse 0.1704 | lr 1.27e-04 | 1.1 it/s
step  21500 | mse 0.5985 | mu_mse 0.1880 | lr 1.26e-04 | 1.1 it/s
step  21600 | mse 0.5427 | mu_mse 0.1752 | lr 1.25e-04 | 1.1 it/s
step  21700 | mse 0.5865 | mu_mse 0.1748 | lr 1.25e-04 | 1.1 it/s
step  21800 | mse 0.5732 | mu_mse 0.1746 | lr 1.24e-04 | 1.1 it/s
step  21900 | mse 0.5739 | mu_mse 0.1649 | lr 1.24e-04 | 1.1 it/s
step  22000 | mse 0.6052 | mu_mse 0.1640 | lr 1.23e-04 | 1.1 it/s
  [eval] step 22000 | EMA avg NMSE -7.66 dB (step1 -17.00, step10 -3.63) | raw -7.26 dB
step  22100 | mse 0.6145 | mu_mse 0.1917 | lr 1.22e-04 | 1.1 it/s
step  22200 | mse 0.6085 | mu_mse 0.1778 | lr 1.22e-04 | 1.1 it/s
step  22300 | mse 0.5675 | mu_mse 0.1577 | lr 1.21e-04 | 1.1 it/s
step  22400 | mse 0.5152 | mu_mse 0.1641 | lr 1.21e-04 | 1.1 it/s
step  22500 | mse 0.5507 | mu_mse 0.1750 | lr 1.20e-04 | 1.1 it/s
step  22600 | mse 0.5433 | mu_mse 0.1726 | lr 1.19e-04 | 1.1 it/s
step  22700 | mse 0.6005 | mu_mse 0.1881 | lr 1.19e-04 | 1.1 it/s
step  22800 | mse 0.5533 | mu_mse 0.1599 | lr 1.18e-04 | 1.1 it/s
step  22900 | mse 0.6597 | mu_mse 0.1855 | lr 1.17e-04 | 1.1 it/s
step  23000 | mse 0.6108 | mu_mse 0.1775 | lr 1.17e-04 | 1.1 it/s
step  23100 | mse 0.5789 | mu_mse 0.1734 | lr 1.16e-04 | 1.1 it/s
