===== TRAIN STARTED AT Fri Jul  3 21:09:12 CEST 2026 =====
device=cuda out_dir=runs/mf_6795740 steps=50000 batch=256 lr=0.0002 source_std=0.2 mean_samples=1
building fixed validation set ...
step      0 | mse 0.2317 | lr 2.00e-07 | 0.3 it/s
step   8200 | mse 0.1119 | lr 1.90e-04 | 1.1 it/s
step   8300 | mse 0.1303 | lr 1.89e-04 | 1.1 it/s
step   8400 | mse 0.1246 | lr 1.89e-04 | 1.1 it/s
step   8500 | mse 0.1301 | lr 1.89e-04 | 1.1 it/s
step   8600 | mse 0.1260 | lr 1.88e-04 | 1.1 it/s
step   8700 | mse 0.1452 | lr 1.88e-04 | 1.1 it/s
step   8800 | mse 0.1389 | lr 1.88e-04 | 1.1 it/s
step   8900 | mse 0.1418 | lr 1.88e-04 | 1.1 it/s
step   9000 | mse 0.1256 | lr 1.87e-04 | 1.1 it/s
step   9100 | mse 0.1234 | lr 1.87e-04 | 1.1 it/s
step   9200 | mse 0.1177 | lr 1.87e-04 | 1.1 it/s
step   9300 | mse 0.1171 | lr 1.86e-04 | 1.1 it/s
step   9400 | mse 0.1336 | lr 1.86e-04 | 1.1 it/s
step   9500 | mse 0.1283 | lr 1.86e-04 | 1.1 it/s
step   9600 | mse 0.1250 | lr 1.85e-04 | 1.1 it/s
step   9700 | mse 0.1230 | lr 1.85e-04 | 1.1 it/s
step   9800 | mse 0.1194 | lr 1.85e-04 | 1.1 it/s
step   9900 | mse 0.1314 | lr 1.84e-04 | 1.1 it/s
step  10000 | mse 0.1271 | lr 1.84e-04 | 1.1 it/s
  [eval] step 10000 | EMA avg NMSE -1.76 dB (step1 -15.76, step10 1.90) | raw -0.81 dB
step  10100 | mse 0.1107 | lr 1.84e-04 | 1.1 it/s
step  10200 | mse 0.1303 | lr 1.83e-04 | 1.1 it/s
step  10300 | mse 0.1209 | lr 1.83e-04 | 1.1 it/s
step  10400 | mse 0.1208 | lr 1.83e-04 | 1.1 it/s
step  10500 | mse 0.1132 | lr 1.82e-04 | 1.1 it/s
step  10600 | mse 0.1007 | lr 1.82e-04 | 1.1 it/s
step  10700 | mse 0.0989 | lr 1.81e-04 | 1.1 it/s
step  10800 | mse 0.1061 | lr 1.81e-04 | 1.1 it/s
step  10900 | mse 0.1146 | lr 1.81e-04 | 1.1 it/s
step  11000 | mse 0.1027 | lr 1.80e-04 | 1.1 it/s
step  11100 | mse 0.1172 | lr 1.80e-04 | 1.1 it/s
step  11200 | mse 0.1061 | lr 1.80e-04 | 1.1 it/s
step  11300 | mse 0.1281 | lr 1.79e-04 | 1.1 it/s
step  11400 | mse 0.1174 | lr 1.79e-04 | 1.1 it/s
step  11500 | mse 0.1051 | lr 1.78e-04 | 1.1 it/s
step  11600 | mse 0.1358 | lr 1.78e-04 | 1.1 it/s
step  11700 | mse 0.1114 | lr 1.78e-04 | 1.1 it/s
step  11800 | mse 0.1300 | lr 1.77e-04 | 1.1 it/s
step  11900 | mse 0.1044 | lr 1.77e-04 | 1.1 it/s
step  12000 | mse 0.0983 | lr 1.76e-04 | 1.1 it/s
  [eval] step 12000 | EMA avg NMSE -1.87 dB (step1 -16.20, step10 1.88) | raw -1.54 dB
step  12100 | mse 0.1123 | lr 1.76e-04 | 1.1 it/s
step  12200 | mse 0.0974 | lr 1.76e-04 | 1.1 it/s
step  12300 | mse 0.0961 | lr 1.75e-04 | 1.1 it/s
step  12400 | mse 0.1006 | lr 1.75e-04 | 1.1 it/s
step  12500 | mse 0.1056 | lr 1.74e-04 | 1.1 it/s
step  12600 | mse 0.1171 | lr 1.74e-04 | 1.1 it/s
step  12700 | mse 0.1035 | lr 1.73e-04 | 1.1 it/s
step  12800 | mse 0.1090 | lr 1.73e-04 | 1.1 it/s
step  12900 | mse 0.1016 | lr 1.73e-04 | 1.1 it/s
step  13000 | mse 0.0943 | lr 1.72e-04 | 1.1 it/s
step  13100 | mse 0.0948 | lr 1.72e-04 | 1.1 it/s
step  13200 | mse 0.0935 | lr 1.71e-04 | 1.1 it/s
step  13300 | mse 0.1075 | lr 1.71e-04 | 1.1 it/s
step  13400 | mse 0.0966 | lr 1.70e-04 | 1.1 it/s
step  13500 | mse 0.0956 | lr 1.70e-04 | 1.1 it/s
step  13600 | mse 0.0965 | lr 1.69e-04 | 1.1 it/s
step  13700 | mse 0.0885 | lr 1.69e-04 | 1.1 it/s
step  13800 | mse 0.0993 | lr 1.68e-04 | 1.1 it/s
step  13900 | mse 0.0907 | lr 1.68e-04 | 1.1 it/s
step  14000 | mse 0.1074 | lr 1.68e-04 | 1.1 it/s
  [eval] step 14000 | EMA avg NMSE -1.81 dB (step1 -16.20, step10 1.91) | raw -0.86 dB
step  14100 | mse 0.0992 | lr 1.67e-04 | 1.1 it/s
step  14200 | mse 0.0923 | lr 1.67e-04 | 1.1 it/s
step  14300 | mse 0.0861 | lr 1.66e-04 | 1.1 it/s
step  14400 | mse 0.0939 | lr 1.66e-04 | 1.1 it/s
step  14500 | mse 0.0846 | lr 1.65e-04 | 1.1 it/s
step  14600 | mse 0.0897 | lr 1.65e-04 | 1.1 it/s
step  14700 | mse 0.0864 | lr 1.64e-04 | 1.1 it/s
step  14800 | mse 0.0911 | lr 1.64e-04 | 1.1 it/s
step  14900 | mse 0.0817 | lr 1.63e-04 | 1.1 it/s
step  15000 | mse 0.0851 | lr 1.63e-04 | 1.1 it/s
step  15100 | mse 0.1023 | lr 1.62e-04 | 1.1 it/s
step  15200 | mse 0.0970 | lr 1.62e-04 | 1.1 it/s
step  15300 | mse 0.0871 | lr 1.61e-04 | 1.1 it/s
step  15400 | mse 0.0918 | lr 1.61e-04 | 1.1 it/s
step  15500 | mse 0.0888 | lr 1.60e-04 | 1.1 it/s
step  15600 | mse 0.0865 | lr 1.60e-04 | 1.1 it/s
step  15700 | mse 0.0753 | lr 1.59e-04 | 1.1 it/s
step  15800 | mse 0.0819 | lr 1.59e-04 | 1.1 it/s
step  15900 | mse 0.0881 | lr 1.58e-04 | 1.1 it/s
step  16000 | mse 0.0801 | lr 1.58e-04 | 1.1 it/s
  [eval] step 16000 | EMA avg NMSE -1.95 dB (step1 -16.38, step10 1.73) | raw -1.49 dB
step  16100 | mse 0.0904 | lr 1.57e-04 | 1.1 it/s
step  16200 | mse 0.0855 | lr 1.57e-04 | 1.1 it/s
step  16300 | mse 0.0860 | lr 1.56e-04 | 1.1 it/s
