===== AR-CONVLSTM STARTED Sun Jul 26 18:45:57 CEST 2026 =====
AR-ConvLSTM params=0.602M steps=50000 batch=256 lr=0.0002
step      0 | mse 2.2093 | lr 2.00e-07 | 0.5 it/s
step   8400 | mse 0.2235 | lr 1.89e-04 | 1.4 it/s
step   8500 | mse 0.1921 | lr 1.89e-04 | 1.4 it/s
step   8600 | mse 0.2282 | lr 1.88e-04 | 1.4 it/s
step   8700 | mse 0.2211 | lr 1.88e-04 | 1.4 it/s
step   8800 | mse 0.2044 | lr 1.88e-04 | 1.4 it/s
step   8900 | mse 0.2263 | lr 1.88e-04 | 1.4 it/s
step   9000 | mse 0.2091 | lr 1.87e-04 | 1.4 it/s
step   9100 | mse 0.2115 | lr 1.87e-04 | 1.4 it/s
step   9200 | mse 0.2115 | lr 1.87e-04 | 1.4 it/s
step   9300 | mse 0.2030 | lr 1.86e-04 | 1.4 it/s
step   9400 | mse 0.2138 | lr 1.86e-04 | 1.4 it/s
step   9500 | mse 0.1886 | lr 1.86e-04 | 1.4 it/s
step   9600 | mse 0.2024 | lr 1.85e-04 | 1.4 it/s
step   9700 | mse 0.2109 | lr 1.85e-04 | 1.4 it/s
step   9800 | mse 0.2226 | lr 1.85e-04 | 1.4 it/s
step   9900 | mse 0.2102 | lr 1.84e-04 | 1.4 it/s
step  10000 | mse 0.2177 | lr 1.84e-04 | 1.4 it/s
  [eval] step 10000 | EMA avg NMSE -6.56 dB (step1 -17.66, step10 -2.89)
step  10100 | mse 0.2164 | lr 1.84e-04 | 1.4 it/s
step  10200 | mse 0.2159 | lr 1.83e-04 | 1.4 it/s
step  10300 | mse 0.1972 | lr 1.83e-04 | 1.4 it/s
step  10400 | mse 0.2150 | lr 1.83e-04 | 1.4 it/s
step  10500 | mse 0.2297 | lr 1.82e-04 | 1.4 it/s
step  10600 | mse 0.2178 | lr 1.82e-04 | 1.4 it/s
step  10700 | mse 0.1960 | lr 1.81e-04 | 1.4 it/s
step  10800 | mse 0.2261 | lr 1.81e-04 | 1.4 it/s
step  10900 | mse 0.2258 | lr 1.81e-04 | 1.4 it/s
step  11000 | mse 0.1948 | lr 1.80e-04 | 1.4 it/s
step  11100 | mse 0.2059 | lr 1.80e-04 | 1.4 it/s
step  11200 | mse 0.2043 | lr 1.80e-04 | 1.4 it/s
step  11300 | mse 0.2303 | lr 1.79e-04 | 1.4 it/s
step  11400 | mse 0.1969 | lr 1.79e-04 | 1.4 it/s
step  11500 | mse 0.2079 | lr 1.78e-04 | 1.4 it/s
step  11600 | mse 0.2309 | lr 1.78e-04 | 1.4 it/s
step  11700 | mse 0.2159 | lr 1.78e-04 | 1.4 it/s
step  11800 | mse 0.1999 | lr 1.77e-04 | 1.4 it/s
step  11900 | mse 0.2120 | lr 1.77e-04 | 1.4 it/s
step  12000 | mse 0.2217 | lr 1.76e-04 | 1.4 it/s
  [eval] step 12000 | EMA avg NMSE -6.59 dB (step1 -17.96, step10 -2.85)
step  12100 | mse 0.2299 | lr 1.76e-04 | 1.4 it/s
step  12200 | mse 0.2075 | lr 1.76e-04 | 1.4 it/s
step  12300 | mse 0.2081 | lr 1.75e-04 | 1.4 it/s
step  12400 | mse 0.2200 | lr 1.75e-04 | 1.4 it/s
step  12500 | mse 0.1938 | lr 1.74e-04 | 1.4 it/s
step  12600 | mse 0.2136 | lr 1.74e-04 | 1.4 it/s
step  12700 | mse 0.2107 | lr 1.73e-04 | 1.4 it/s
step  12800 | mse 0.2094 | lr 1.73e-04 | 1.4 it/s
step  12900 | mse 0.2115 | lr 1.73e-04 | 1.4 it/s
step  13000 | mse 0.2250 | lr 1.72e-04 | 1.4 it/s
step  13100 | mse 0.2016 | lr 1.72e-04 | 1.4 it/s
step  13200 | mse 0.2010 | lr 1.71e-04 | 1.4 it/s
step  13300 | mse 0.2117 | lr 1.71e-04 | 1.4 it/s
step  13400 | mse 0.2115 | lr 1.70e-04 | 1.4 it/s
step  13500 | mse 0.1904 | lr 1.70e-04 | 1.4 it/s
step  13600 | mse 0.1985 | lr 1.69e-04 | 1.4 it/s
step  13700 | mse 0.1994 | lr 1.69e-04 | 1.4 it/s
step  13800 | mse 0.1970 | lr 1.68e-04 | 1.4 it/s
step  13900 | mse 0.1903 | lr 1.68e-04 | 1.4 it/s
step  14000 | mse 0.2021 | lr 1.68e-04 | 1.4 it/s
  [eval] step 14000 | EMA avg NMSE -6.68 dB (step1 -18.22, step10 -2.90)
step  14100 | mse 0.2043 | lr 1.67e-04 | 1.4 it/s
step  14200 | mse 0.2026 | lr 1.67e-04 | 1.4 it/s
step  14300 | mse 0.2010 | lr 1.66e-04 | 1.4 it/s
step  14400 | mse 0.2013 | lr 1.66e-04 | 1.4 it/s
step  14500 | mse 0.2208 | lr 1.65e-04 | 1.4 it/s
step  14600 | mse 0.2163 | lr 1.65e-04 | 1.4 it/s
step  14700 | mse 0.1982 | lr 1.64e-04 | 1.4 it/s
step  14800 | mse 0.2023 | lr 1.64e-04 | 1.4 it/s
step  14900 | mse 0.2097 | lr 1.63e-04 | 1.4 it/s
step  15000 | mse 0.2139 | lr 1.63e-04 | 1.4 it/s
step  15100 | mse 0.2176 | lr 1.62e-04 | 1.4 it/s
step  15200 | mse 0.2010 | lr 1.62e-04 | 1.4 it/s
step  15300 | mse 0.1954 | lr 1.61e-04 | 1.4 it/s
step  15400 | mse 0.2109 | lr 1.61e-04 | 1.4 it/s
step  15500 | mse 0.1947 | lr 1.60e-04 | 1.4 it/s
step  15600 | mse 0.2211 | lr 1.60e-04 | 1.4 it/s
step  15700 | mse 0.2104 | lr 1.59e-04 | 1.4 it/s
step  15800 | mse 0.1947 | lr 1.59e-04 | 1.4 it/s
step  15900 | mse 0.2134 | lr 1.58e-04 | 1.4 it/s
step  16000 | mse 0.1826 | lr 1.58e-04 | 1.4 it/s
  [eval] step 16000 | EMA avg NMSE -6.70 dB (step1 -18.43, step10 -2.90)
step  16100 | mse 0.1987 | lr 1.57e-04 | 1.4 it/s
step  16200 | mse 0.2100 | lr 1.57e-04 | 1.4 it/s
step  16300 | mse 0.2040 | lr 1.56e-04 | 1.4 it/s
step  16400 | mse 0.2150 | lr 1.56e-04 | 1.4 it/s
step  16500 | mse 0.2001 | lr 1.55e-04 | 1.4 it/s
step  16600 | mse 0.1922 | lr 1.54e-04 | 1.4 it/s
step  16700 | mse 0.2090 | lr 1.54e-04 | 1.4 it/s
step  16800 | mse 0.1961 | lr 1.53e-04 | 1.4 it/s
step  16900 | mse 0.1943 | lr 1.53e-04 | 1.4 it/s
step  17000 | mse 0.1860 | lr 1.52e-04 | 1.4 it/s
step  17100 | mse 0.1708 | lr 1.52e-04 | 1.4 it/s
step  17200 | mse 0.2060 | lr 1.51e-04 | 1.4 it/s
step  17300 | mse 0.2030 | lr 1.51e-04 | 1.4 it/s
step  17400 | mse 0.1978 | lr 1.50e-04 | 1.4 it/s
step  17500 | mse 0.2114 | lr 1.50e-04 | 1.4 it/s
step  17600 | mse 0.1922 | lr 1.49e-04 | 1.4 it/s
step  17700 | mse 0.1972 | lr 1.48e-04 | 1.4 it/s
step  17800 | mse 0.2007 | lr 1.48e-04 | 1.4 it/s
step  17900 | mse 0.1905 | lr 1.47e-04 | 1.4 it/s
step  18000 | mse 0.2002 | lr 1.47e-04 | 1.4 it/s
  [eval] step 18000 | EMA avg NMSE -6.78 dB (step1 -18.61, step10 -2.94)
step  18100 | mse 0.2093 | lr 1.46e-04 | 1.4 it/s
step  18200 | mse 0.2124 | lr 1.46e-04 | 1.4 it/s
step  18300 | mse 0.2137 | lr 1.45e-04 | 1.4 it/s
step  18400 | mse 0.2026 | lr 1.45e-04 | 1.4 it/s
step  18500 | mse 0.1817 | lr 1.44e-04 | 1.4 it/s
step  18600 | mse 0.2031 | lr 1.43e-04 | 1.4 it/s
step  18700 | mse 0.1927 | lr 1.43e-04 | 1.4 it/s
step  18800 | mse 0.2116 | lr 1.42e-04 | 1.4 it/s
step  18900 | mse 0.2156 | lr 1.42e-04 | 1.4 it/s
step  19000 | mse 0.2205 | lr 1.41e-04 | 1.4 it/s
step  19100 | mse 0.1969 | lr 1.40e-04 | 1.4 it/s
step  19200 | mse 0.1844 | lr 1.40e-04 | 1.4 it/s
step  19300 | mse 0.1897 | lr 1.39e-04 | 1.4 it/s
step  19400 | mse 0.1969 | lr 1.39e-04 | 1.4 it/s
step  19500 | mse 0.2030 | lr 1.38e-04 | 1.4 it/s
step  19600 | mse 0.2031 | lr 1.38e-04 | 1.4 it/s
step  19700 | mse 0.1988 | lr 1.37e-04 | 1.4 it/s
step  19800 | mse 0.2100 | lr 1.36e-04 | 1.4 it/s
step  19900 | mse 0.1946 | lr 1.36e-04 | 1.4 it/s
step  20000 | mse 0.2231 | lr 1.35e-04 | 1.4 it/s
  [eval] step 20000 | EMA avg NMSE -6.80 dB (step1 -18.73, step10 -2.91)
step  20100 | mse 0.1872 | lr 1.35e-04 | 1.4 it/s
step  20200 | mse 0.1963 | lr 1.34e-04 | 1.4 it/s
step  20300 | mse 0.2064 | lr 1.33e-04 | 1.4 it/s
step  20400 | mse 0.2004 | lr 1.33e-04 | 1.4 it/s
step  20500 | mse 0.2045 | lr 1.32e-04 | 1.4 it/s
step  20600 | mse 0.1995 | lr 1.32e-04 | 1.4 it/s
step  20700 | mse 0.2055 | lr 1.31e-04 | 1.4 it/s
step  20800 | mse 0.1910 | lr 1.30e-04 | 1.4 it/s
step  20900 | mse 0.2101 | lr 1.30e-04 | 1.4 it/s
step  21000 | mse 0.2019 | lr 1.29e-04 | 1.4 it/s
step  21100 | mse 0.2086 | lr 1.29e-04 | 1.4 it/s
step  21200 | mse 0.2183 | lr 1.28e-04 | 1.4 it/s
step  21300 | mse 0.2200 | lr 1.27e-04 | 1.4 it/s
