===== SEQ2SEQ (regression/large) STARTED Sun Jul 26 13:50:11 CEST 2026 =====
objective=regression size=large params=1.362M steps=50000 batch=256 lr=0.0002 norm=global_std
global-std (mu, sd) = (0.0326, 0.7064)
step      0 | loss 1.1590 | lr 2.00e-07 | 0.9 it/s
step   8300 | loss 0.2346 | lr 1.89e-04 | 1.2 it/s
step   8400 | loss 0.2582 | lr 1.89e-04 | 1.2 it/s
step   8500 | loss 0.2322 | lr 1.89e-04 | 1.2 it/s
step   8600 | loss 0.2733 | lr 1.88e-04 | 1.2 it/s
step   8700 | loss 0.2582 | lr 1.88e-04 | 1.2 it/s
step   8800 | loss 0.2458 | lr 1.88e-04 | 1.2 it/s
step   8900 | loss 0.2658 | lr 1.88e-04 | 1.2 it/s
step   9000 | loss 0.2694 | lr 1.87e-04 | 1.2 it/s
step   9100 | loss 0.2544 | lr 1.87e-04 | 1.2 it/s
step   9200 | loss 0.2395 | lr 1.87e-04 | 1.2 it/s
step   9300 | loss 0.2207 | lr 1.86e-04 | 1.2 it/s
step   9400 | loss 0.2497 | lr 1.86e-04 | 1.2 it/s
step   9500 | loss 0.2203 | lr 1.86e-04 | 1.2 it/s
step   9600 | loss 0.2510 | lr 1.85e-04 | 1.2 it/s
step   9700 | loss 0.2479 | lr 1.85e-04 | 1.2 it/s
step   9800 | loss 0.2709 | lr 1.85e-04 | 1.2 it/s
step   9900 | loss 0.2472 | lr 1.84e-04 | 1.2 it/s
step  10000 | loss 0.2624 | lr 1.84e-04 | 1.2 it/s
  [eval] step 10000 | EMA avg NMSE -9.52 dB (step1 -14.87, step10 -6.97)
step  10100 | loss 0.2604 | lr 1.84e-04 | 1.2 it/s
step  10200 | loss 0.2628 | lr 1.83e-04 | 1.2 it/s
step  10300 | loss 0.2223 | lr 1.83e-04 | 1.2 it/s
step  10400 | loss 0.2576 | lr 1.83e-04 | 1.2 it/s
step  10500 | loss 0.2771 | lr 1.82e-04 | 1.2 it/s
step  10600 | loss 0.2458 | lr 1.82e-04 | 1.2 it/s
step  10700 | loss 0.2233 | lr 1.81e-04 | 1.2 it/s
step  10800 | loss 0.2769 | lr 1.81e-04 | 1.2 it/s
step  10900 | loss 0.2474 | lr 1.81e-04 | 1.2 it/s
step  11000 | loss 0.2407 | lr 1.80e-04 | 1.2 it/s
step  11100 | loss 0.2276 | lr 1.80e-04 | 1.2 it/s
step  11200 | loss 0.2492 | lr 1.80e-04 | 1.2 it/s
step  11300 | loss 0.2787 | lr 1.79e-04 | 1.2 it/s
step  11400 | loss 0.2221 | lr 1.79e-04 | 1.2 it/s
step  11500 | loss 0.2496 | lr 1.78e-04 | 1.2 it/s
step  11600 | loss 0.2652 | lr 1.78e-04 | 1.2 it/s
step  11700 | loss 0.2491 | lr 1.78e-04 | 1.2 it/s
step  11800 | loss 0.2301 | lr 1.77e-04 | 1.2 it/s
step  11900 | loss 0.2462 | lr 1.77e-04 | 1.2 it/s
step  12000 | loss 0.2454 | lr 1.76e-04 | 1.2 it/s
