===== TRAIN STARTED AT Fri Jul  3 18:36:48 CEST 2026 =====
device=cuda out_dir=runs/mf_6795543 steps=50000 batch=256 lr=0.0002
building fixed validation set ...
step      0 | mse 1.1964 | lr 2.00e-07 | 0.3 it/s
step   4600 | mse 0.3178 | lr 1.97e-04 | 1.1 it/s
step   4700 | mse 0.2863 | lr 1.97e-04 | 1.1 it/s
step   4800 | mse 0.2868 | lr 1.97e-04 | 1.1 it/s
step   4900 | mse 0.3110 | lr 1.97e-04 | 1.1 it/s
step   5000 | mse 0.2788 | lr 1.97e-04 | 1.1 it/s
step   5100 | mse 0.2930 | lr 1.97e-04 | 1.1 it/s
step   5200 | mse 0.2503 | lr 1.96e-04 | 1.1 it/s
step   5300 | mse 0.2888 | lr 1.96e-04 | 1.1 it/s
step   5400 | mse 0.3119 | lr 1.96e-04 | 1.1 it/s
step   5500 | mse 0.2786 | lr 1.96e-04 | 1.1 it/s
step   5600 | mse 0.2985 | lr 1.96e-04 | 1.1 it/s
step   5700 | mse 0.2917 | lr 1.96e-04 | 1.1 it/s
step   5800 | mse 0.2808 | lr 1.95e-04 | 1.1 it/s
step   5900 | mse 0.2668 | lr 1.95e-04 | 1.1 it/s
step   6000 | mse 0.2864 | lr 1.95e-04 | 1.1 it/s
  [eval] step 6000 | EMA avg NMSE -0.21 dB (step1 -8.17, step10 2.88) | raw 0.81 dB
step   6100 | mse 0.2852 | lr 1.95e-04 | 1.1 it/s
step   6200 | mse 0.2644 | lr 1.95e-04 | 1.1 it/s
step   6300 | mse 0.2559 | lr 1.94e-04 | 1.1 it/s
step   6400 | mse 0.2598 | lr 1.94e-04 | 1.1 it/s
step   6500 | mse 0.2461 | lr 1.94e-04 | 1.1 it/s
step   6600 | mse 0.2567 | lr 1.94e-04 | 1.1 it/s
step   6700 | mse 0.2538 | lr 1.93e-04 | 1.1 it/s
step   6800 | mse 0.2514 | lr 1.93e-04 | 1.1 it/s
step   6900 | mse 0.2434 | lr 1.93e-04 | 1.1 it/s
step   7000 | mse 0.2396 | lr 1.93e-04 | 1.1 it/s
step   7100 | mse 0.2499 | lr 1.93e-04 | 1.1 it/s
step   7200 | mse 0.2391 | lr 1.92e-04 | 1.1 it/s
step   7300 | mse 0.2690 | lr 1.92e-04 | 1.1 it/s
step   7400 | mse 0.2622 | lr 1.92e-04 | 1.1 it/s
step   7500 | mse 0.2461 | lr 1.92e-04 | 1.1 it/s
step   7600 | mse 0.2481 | lr 1.91e-04 | 1.1 it/s
step   7700 | mse 0.2509 | lr 1.91e-04 | 1.1 it/s
step   7800 | mse 0.2454 | lr 1.91e-04 | 1.1 it/s
step   7900 | mse 0.2263 | lr 1.90e-04 | 1.1 it/s
step   8000 | mse 0.2389 | lr 1.90e-04 | 1.1 it/s
  [eval] step 8000 | EMA avg NMSE 0.52 dB (step1 -7.81, step10 3.66) | raw 2.50 dB
step   8100 | mse 0.2276 | lr 1.90e-04 | 1.1 it/s
step   8200 | mse 0.2436 | lr 1.90e-04 | 1.1 it/s
step   8300 | mse 0.2446 | lr 1.89e-04 | 1.1 it/s
step   8400 | mse 0.2328 | lr 1.89e-04 | 1.1 it/s
step   8500 | mse 0.1970 | lr 1.89e-04 | 1.1 it/s
step   8600 | mse 0.2037 | lr 1.88e-04 | 1.1 it/s
step   8700 | mse 0.2220 | lr 1.88e-04 | 1.1 it/s
step   8800 | mse 0.2225 | lr 1.88e-04 | 1.1 it/s
step   8900 | mse 0.2410 | lr 1.88e-04 | 1.1 it/s
step   9000 | mse 0.2086 | lr 1.87e-04 | 1.1 it/s
step   9100 | mse 0.2270 | lr 1.87e-04 | 1.1 it/s
step   9200 | mse 0.2017 | lr 1.87e-04 | 1.1 it/s
step   9300 | mse 0.2054 | lr 1.86e-04 | 1.1 it/s
step   9400 | mse 0.2425 | lr 1.86e-04 | 1.1 it/s
step   9500 | mse 0.2121 | lr 1.86e-04 | 1.1 it/s
step   9600 | mse 0.2045 | lr 1.85e-04 | 1.1 it/s
step   9700 | mse 0.1864 | lr 1.85e-04 | 1.1 it/s
step   9800 | mse 0.2259 | lr 1.85e-04 | 1.1 it/s
step   9900 | mse 0.2101 | lr 1.84e-04 | 1.1 it/s
step  10000 | mse 0.2097 | lr 1.84e-04 | 1.1 it/s
  [eval] step 10000 | EMA avg NMSE 1.11 dB (step1 -7.36, step10 4.23) | raw 2.49 dB
