===== TRAIN STARTED AT Fri Jul  3 18:36:48 CEST 2026 =====
device=cuda out_dir=runs/mf_6795543 steps=50000 batch=256 lr=0.0002
building fixed validation set ...
step      0 | mse 1.1964 | lr 2.00e-07 | 0.3 it/s
step    100 | mse 1.1253 | lr 2.02e-05 | 1.1 it/s
step    200 | mse 1.1488 | lr 4.02e-05 | 1.1 it/s
step    300 | mse 1.5069 | lr 6.02e-05 | 1.1 it/s
step    400 | mse 3.6099 | lr 8.02e-05 | 1.1 it/s
step    500 | mse 6.0661 | lr 1.00e-04 | 1.1 it/s
step    600 | mse 5.5691 | lr 1.20e-04 | 1.1 it/s
step    700 | mse 4.9852 | lr 1.40e-04 | 1.1 it/s
step    800 | mse 4.5261 | lr 1.60e-04 | 1.1 it/s
step    900 | mse 3.7720 | lr 1.80e-04 | 1.1 it/s
step   1000 | mse 3.0952 | lr 2.00e-04 | 1.1 it/s
step   1100 | mse 2.3673 | lr 2.00e-04 | 1.1 it/s
step   1200 | mse 1.9343 | lr 2.00e-04 | 1.1 it/s
step   1300 | mse 1.6029 | lr 2.00e-04 | 1.1 it/s
step   1400 | mse 1.3982 | lr 2.00e-04 | 1.1 it/s
step   1500 | mse 1.1532 | lr 2.00e-04 | 1.1 it/s
step   1600 | mse 0.9764 | lr 2.00e-04 | 1.1 it/s
step   1700 | mse 0.8707 | lr 2.00e-04 | 1.1 it/s
step   1800 | mse 0.7916 | lr 2.00e-04 | 1.1 it/s
step   1900 | mse 0.6711 | lr 2.00e-04 | 1.1 it/s
step   2000 | mse 0.6324 | lr 2.00e-04 | 1.1 it/s
  [eval] step 2000 | EMA avg NMSE 1.22 dB (step1 -6.57, step10 3.65) | raw 3.16 dB
step   2100 | mse 0.5906 | lr 2.00e-04 | 1.1 it/s
step   2200 | mse 0.6010 | lr 2.00e-04 | 1.1 it/s
step   2300 | mse 0.5489 | lr 2.00e-04 | 1.1 it/s
step   2400 | mse 0.5337 | lr 2.00e-04 | 1.1 it/s
step   2500 | mse 0.4799 | lr 2.00e-04 | 1.1 it/s
step   2600 | mse 0.5046 | lr 1.99e-04 | 1.1 it/s
step   2700 | mse 0.4781 | lr 1.99e-04 | 1.1 it/s
step   2800 | mse 0.4393 | lr 1.99e-04 | 1.1 it/s
step   2900 | mse 0.4103 | lr 1.99e-04 | 1.1 it/s
step   3000 | mse 0.4178 | lr 1.99e-04 | 1.1 it/s
step   3100 | mse 0.3918 | lr 1.99e-04 | 1.1 it/s
step   3200 | mse 0.4066 | lr 1.99e-04 | 1.1 it/s
step   3300 | mse 0.3719 | lr 1.99e-04 | 1.1 it/s
step   3400 | mse 0.4076 | lr 1.99e-04 | 1.1 it/s
step   3500 | mse 0.3679 | lr 1.99e-04 | 1.1 it/s
step   3600 | mse 0.3543 | lr 1.99e-04 | 1.1 it/s
step   3700 | mse 0.3285 | lr 1.99e-04 | 1.1 it/s
step   3800 | mse 0.3401 | lr 1.98e-04 | 1.1 it/s
step   3900 | mse 0.3392 | lr 1.98e-04 | 1.1 it/s
step   4000 | mse 0.3230 | lr 1.98e-04 | 1.1 it/s
  [eval] step 4000 | EMA avg NMSE -0.82 dB (step1 -8.11, step10 2.25) | raw 2.05 dB
step   4100 | mse 0.3141 | lr 1.98e-04 | 1.1 it/s
step   4200 | mse 0.3314 | lr 1.98e-04 | 1.1 it/s
step   4300 | mse 0.3423 | lr 1.98e-04 | 1.1 it/s
step   4400 | mse 0.3295 | lr 1.98e-04 | 1.1 it/s
step   4500 | mse 0.3242 | lr 1.98e-04 | 1.1 it/s
